Description,Meaning,Source,Type
간도 쓸개도 없다,용기나 줏대 없이 남에게 굽히다.,표준국어대사전,관용구
간땡이 크다,‘간(이) 크다’를 속되게 이르는 말.,표준국어대사전,관용구
간살 지르다,칸살을 둘 또는 여럿으로 나누기 위하여 칸막이를 건너지르다.,표준국어대사전,관용구
간언 들다,잘 어울리는 일에 이간하는 말이 끼어들다.,표준국어대사전,관용구
간에 가 붙고 쓸개〔염통〕에 가 붙는다,"제 줏대를 지키지 못하고 이익이나 상황에 따라 이리저리 언행을 바꾼다는 말. (=간에 붙었다 쓸개에 붙었다 한다, 쓸개에 가 붙고 간에 가 붙는다.)",고려대 한국어대사전,속담
간에 가 붙고 쓸개에 가 붙는다,자기에게 조금이라도 이익이 되면 지조 없이 이편에 붙었다 저편에 붙었다 함을 비유적으로 이르는 말.,표준국어대사전,속담
간에 기별도 안 가다,먹은 것이 너무 적어 먹으나 마나 하다.,표준국어대사전,관용구
간에 기별을 하다,먹으나 마나 한 아주 적은 양의 음식을 먹다.,표준국어대사전,관용구
간에 붙었다 쓸개〔염통〕에 붙었다 한다,"제 줏대를 지키지 못하고 이익이나 상황에 따라 이리저리 언행을 바꾸는 사람을 비꼬아 이르는 말. (=간에 가 붙고 쓸개에 가 붙는다, 쓸개에 가 붙고 간에 가 붙는다.)",고려대 한국어대사전,속담
간에 붙었다 쓸개에 붙었다 한다,자기에게 조금이라도 이익이 되면 지조 없이 이편에 붙었다 저편에 붙었다 함을 비유적으로 이르는 말.,표준국어대사전,속담
간에 차지 않다,"먹은 것이 너무 적어 먹으나 마나 하다.,마음에 흡족히 여겨지지 않다.",표준국어대사전,관용구
간이 뒤집혔나 허파에 바람이 들었나,마음의 평정을 잃고 까닭 없이 웃음을 핀잔하는 말.,표준국어대사전,속담
간이 벌름거리다,몹시 두렵거나 놀라워 가슴이 두근거리다.,표준국어대사전,관용구
간이 오그라들다,몹시 두려워지거나 무서워지다.,표준국어대사전,관용구
간이 조마조마하다,마음이 초조하고 불안하다.,표준국어대사전,관용구
간이 콩알만 하다,몹시 겁이 나서 기를 펴지 못하다.,표준국어대사전,관용구
간이 콩알만 해지다,몹시 두려워지거나 무서워지다.,표준국어대사전,관용구
간이 콩알만 해지다 〔오그라들다〕,(사람이) 몹시 두려워지거나 무서워지다.,고려대 한국어대사전,관용구
간이라도 빼어 먹이겠다,아주 친한 사이이므로 아무리 소중한 것이라도 아낌없이 내어 줄 수 있음을 비유적으로 이르는 말.,표준국어대사전,속담
간이라도 빼어 줄 듯,무엇이라도 아낌없이 내줄 듯한 태도를 비유적으로 이르는 말.,표준국어대사전,관용구
간장 종지 노릇 하다,"간장 종지가 밥상에 항상 따라다닌다는 뜻으로, 어떤 대상에게 딱 달라붙어서 굽실거리며 알랑댐을 이르는 말.",표준국어대사전,속담
갈 데까지 가다,"도달할 수 있는 가장 극단의 상태나 상황이 되다.,성관계를 맺다.",표준국어대사전,관용구
갈 켜다,기둥의 사개나 인방의 가름장 따위의 갈을 만들기 위하여 톱질을 하다.,우리말샘,관용구
갈바람에 곡식이 혀를 빼물고 자란다,가을이 오려고 서풍이 불기 시작하면 곡식들이 놀랄 만큼 빨리 자라고 익어 감을 비유적으로 이르는 말.,표준국어대사전,속담
감 고장의 인심,"감나무가 많은 고장에서는 누가 감을 따먹어도 아무도 말리는 법이 없다는 뜻으로, 매우 순박하고 후한 인심을 비유적으로 이르는 말.",고려대 한국어대사전,속담
감 내고 배 낸다,제 뜻대로 주선함을 비유적으로 이르는 말.,고려대 한국어대사전,속담
감 놔라 대추 놔라,"남의 일에 지나치게 간섭하는 경우를 이르는 말. (=남의 잔치에 감 놓아라 배 놓아라 한다, 남의 친환에 단지.)",고려대 한국어대사전,속담
감 들다,"논밭의 물기가 흙밥이 잘 부스러질 정도로 알맞게 되다.,염전이 소금을 생산하기에 알맞게 되다.",표준국어대사전,관용구
감과 고욤은 두들겨 따야 잘 열린다,"감이나 고욤은 열매 달린 가지를 두들겨 따야 이듬해에 햇가지가 잘 자라고 열매가 많이 달린다는 뜻으로, 무슨 일이든지 이치에 맞게 하여야 큰 성과가 이루어짐을 비유적으로 이르는 말.",표준국어대사전,속담
감나무 밑에 누워도 삿갓 미사리를 대어라,"감나무 밑에 누워서 절로 떨어지는 감을 얻어먹으려 하여도 그것을 받기 위하여서는 삿갓 미사리를 입에 대고 있어야 한다는 뜻으로, 의당 자기에게 올 기회나 이익이라도 그것을 놓치지 않으려는 노력이 필요함을 이르는 말.",표준국어대사전,속담
감을 잡다,(사람이) 상황을 파악하거나 확신을 가지다.,고려대 한국어대사전,관용구
감이 빠르다,(사람이) 어떤 사실에 대한 추정 능력이 뛰어나다.,고려대 한국어대사전,관용구
감정 잡다,(배우나 가수가) 등장인물의 성격에 맞게 연기하거나 충분히 분위기를 살려 노래하다.,고려대 한국어대사전,관용구
감중련 한 손가락,부처님의 손가락 모양을 나타낼 때 쓰는 말.,고려대 한국어대사전,관용구
갑인년 흉년에도 먹다 남은 것이 물이다,"아무리 흉년이라도 물마저 말라 버리는 일은 없다는 것을 비유적으로 이르는 말.,물 한 모금도 얻어먹기 어려운 경우를 이르는 말.",표준국어대사전,속담
갑자기〔급히〕먹은 밥은〔밥에〕체한다,"음식을 급히 먹지 말라는 뜻으로, 갑자기 생긴 재물은 화가 된다는 말.",고려대 한국어대사전,속담
값 보다,사려는 물건의 값을 어림하여 보다.,우리말샘,관용구
값싼 갈치자반 ,값이 싸면서도 쓸 만한 물건을 이르는 말.,표준국어대사전,속담
값이 닿다,(무엇이 사람과) 사거나 팔기에 알맞은 값에 이르다.,고려대 한국어대사전,관용구
갓 쓰고 당나귀 타고 다니던 때,근대적 문명에서 뒤떨어진 조선 시대를 이르는 말.,표준국어대사전,속담
갓 쓰고 박치기해도 제멋,"갓 쓰고 박치기를 하여 갓이 망가지게 되는 것도 제멋으로 하는 짓이란 뜻으로, 남이 어떤 짓을 하거나 제 마음대로 하게 내버려 두라는 말.",표준국어대사전,속담
강 건너 불 보듯,자기에게 관계없는 일이라고 하여 무관심하게 방관하는 모양.,표준국어대사전,관용구
강 건너 불구경〔불 보듯〕하다,(사람이) 직접 관계하지 않고 지켜보기만 하다.,고려대 한국어대사전,관용구
강목 치다,아무런 소득 없이 허탕을 치다.,우리말샘,관용구
강물에 소 지나간 것 같다,"흐르는 강물로 소가 지나간 것 같다는 뜻으로, 흔적이나 자취가 없어져 전혀 알려지지 않거나 알 수 없음을 이르는 말.",표준국어대사전,속담
강물이 출렁일 때는 넘을 것 같아도 못 넘는다,한창 기세가 성할 때에는 당장 큰일을 치를 것 같지만 자기의 능력이나 한계의 범위를 벗어나지는 못한다는 말.,우리말샘,속담
강물이 흘러도 돌은 굴지 않는다,"강물이 아무리 흘러도 돌을 움직여 굴리지는 못한다는 뜻으로, 세태에 흔들리지 아니하고 지조 있게 꿋꿋이 행동함을 비유적으로 이르는 말.",표준국어대사전,속담
강아지 똥은 똥이 아닌가,"약간의 차이는 있다 하더라도 그 본질은 다 같음을 비유적으로 이르는 말.,나쁜 짓을 조금 했다고 하여 안 했다고 발뺌을 할 수는 없음을 비유적으로 이르는 말.",표준국어대사전,속담
강아지에게 메주 멍석 맡긴 것 같다,"강아지한테 메주 멍석을 맡기면 메주를 먹을 것은 뻔한 일이란 뜻으로, 어떤 일이나 물건을 믿지 못할 사람에게 맡겨 놓고 마음이 놓이지 않아 걱정함을 비유적으로 이르는 말.",우리말샘,속담
강철이 간 데는 가을도 봄,"강철이가 지나간 곳에는 아무것도 자라지 않은 초봄과 같이 된다는 뜻으로, 악한 방해자가 나타나거나 불운이 겹쳐서 다 되어 가던 일을 망치는 경우를 이르는 말.",표준국어대사전,속담
